year,name,sex,n
1880,Carolina,F,13
1880,Caroline,F,306
1880,Carolyn,F,80
1880,Carra,F,7
1880,Carrie,F,949
1880,Carrie,M,8
1880,Carroll,M,26
1880,Carson,M,9
1880,Cary,M,17
1880,Casper,M,15
1880,Cassie,F,33
1880,Cassius,M,17
1880,Catharine,F,28
1880,Catherine,F,688
1880,Cathrine,F,13
1880,Cecelia,F,47
1880,Cecil,F,14
1880,Cecil,M,45
1880,Cecile,F,17
1880,Cecilia,F,44
1880,Celestia,F,6
1880,Celestine,F,12
1880,Celia,F,90
1880,Celina,F,12
1880,Chalmers,M,5
1880,Charity,F,29
1880,Charles,F,11
1880,Charles,M,5348
1880,Charley,M,305
1880,Charlie,M,730
1880,Charlotte,F,237
1880,Chas,M,53
1880,Chauncey,M,32
1880,Cherry,F,6
1880,Chesley,M,5
1880,Chester,M,168
1880,Chloe,F,20
1880,Chris,M,49
1880,Christ,M,15
1880,Christena,F,13
1880,Christian,M,43
1880,Christina,F,65
1880,Christine,F,89
1880,Christopher,M,95
1880,Cicero,M,14
1880,Cinda,F,6
1880,Clair,F,5
1880,Clair,M,12
1880,Claire,F,21
1880,Clara,F,1226
1880,Clara,M,8
1880,Clarance,M,8
1880,Clare,F,15
1880,Clare,M,8
1880,Clarence,F,7
1880,Clarence,M,730
1880,Clarice,F,9
1880,Clarinda,F,7
1880,Clarissa,F,10
1880,Clark,M,49
1880,Clarke,M,6
1880,Classie,F,6
1880,Claud,M,90
1880,Claude,F,10
1880,Claude,M,309
1880,Claudia,F,48
1880,Claudie,F,12
1880,Claudine,F,6
1880,Clay,M,18
1880,Clayton,M,60
1880,Clem,M,22
1880,Clement,M,16
1880,Clemente,M,6
1880,Clementine,F,19
1880,Clemmie,F,12
1880,Cleo,F,17
1880,Cleo,M,5
1880,Cleveland,M,11
1880,Cliff,M,7
1880,Clifford,F,6
1880,Clifford,M,127
1880,Clifton,M,38
1880,Clint,M,27
1880,Clinton,M,79
1880,Clovis,M,7
1880,Cloyd,M,12
1880,Clyde,F,13
1880,Clyde,M,221
1880,Coleman,M,12
1880,Colin,M,6
1880,Colonel,M,11
1880,Columbus,M,64
1880,Concepcion,F,5
1880,Connie,F,12
1880,Connie,M,7
1880,Conrad,M,41
1880,Constance,F,15
1880,Cora,F,1045
1880,Cora,M,6
1880,Cordelia,F,58
1880,Cordia,F,8
1880,Cordie,F,14
1880,Corine,F,8
1880,Corinne,F,33
1880,Cornelia,F,94
1880,Cornelious,M,10
1880,Cornelius,M,92
1880,Corrie,F,9
1880,Corrine,F,5
1880,Coy,M,6
1880,Crawford,M,8
1880,Creed,M,7
1880,Creola,F,6
1880,Cruz,M,6
1880,Cullen,M,9
1880,Curt,M,6
1880,Curtis,M,68
1880,Cynthia,F,61
1880,Cyril,M,5
1880,Cyrus,M,54
1880,Daisey,F,11
1880,Daisie,F,12
1880,Daisy,F,564
1880,Daisy,M,5
1880,Dallas,M,20
1880,Damon,M,6
1880,Dan,M,140
1880,Dana,M,12
1880,Danial,M,8
1880,Daniel,M,643
1880,Darius,M,10
1880,Dave,M,131
1880,David,M,869
1880,Davie,M,6
1880,Davis,M,17
1880,Dayton,M,8
1880,Dean,M,14
1880,Debbie,F,6
1880,Deborah,F,12
1880,Dee,F,6
1880,Dee,M,20
1880,Delbert,M,44
1880,Delia,F,129
1880,Delila,F,5
1880,Delilah,F,10
1880,Dell,F,9
1880,Dell,M,15
1880,Della,F,391
1880,Delmar,M,6
1880,Delos,M,7
1880,Delphia,F,7
1880,Delphine,F,5
1880,Dempsey,M,11
1880,Dena,F,13
1880,Denis,M,10
1880,Dennis,M,128
1880,Denver,M,5
1880,Dessa,F,12
1880,Dessie,F,36
1880,Dewitt,M,30
1880,Dexter,M,6
1880,Diana,F,10
1880,Dicie,F,8
1880,Dick,M,25
1880,Dillard,M,10
1880,Dinah,F,6
1880,Dixie,F,15
1880,Doc,M,9
1880,Docia,F,25
1880,Dock,M,46
1880,Dollie,F,69
1880,Dolly,F,21
1880,Dolores,F,13
1880,Dolphus,M,8
1880,Don,M,34
1880,Dona,F,18
1880,Donald,M,46
1880,Donie,F,9
1880,Donna,F,17
1880,Donnie,F,20
1880,Dora,F,524
1880,Dora,M,6
1880,Dorcas,F,11
1880,Doris,F,9
1880,Dorothea,F,16
1880,Dorothy,F,112
1880,Dorsey,M,14
1880,Douglas,M,29
1880,Dove,F,8
1880,Dovie,F,30
1880,Dow,M,5
1880,Drew,M,6
1880,Drucilla,F,7
1880,Drusilla,F,8
1880,Dudley,M,27
1880,Duke,M,7
1880,Duncan,M,12
1880,Dwight,M,12
1880,Earl,M,335
1880,Earle,M,25
1880,Early,M,11
1880,Earnest,M,88
1880,Easter,F,12
1880,Eben,M,9
1880,Eber,M,7
1880,Ed,M,310
1880,Eda,F,22
1880,Edd,M,52
1880,Eddie,F,12
1880,Eddie,M,129
1880,Edgar,F,5
1880,Edgar,M,283
1880,Edie,M,5
1880,Edith,F,768
1880,Edith,M,5
1880,Edmond,M,44
1880,Edmund,M,67
1880,Edna,F,588
1880,Edson,M,6
1880,Edward,M,2364
1880,Edwin,M,309
1880,Edyth,F,6
1880,Edythe,F,19
1880,Effie,F,406
1880,Egbert,M,15
1880,Elaine,F,5
1880,Elam,M,6
1880,Elbert,M,79
1880,Elda,F,9
1880,Elder,M,8
1880,Eldora,F,11
1880,Eldridge,M,13
1880,Eleanor,F,129
1880,Eleanora,F,6
1880,Eleanore,F,13
1880,Electa,F,6
1880,Elena,F,8
1880,Elenora,F,8
1880,Eli,M,73
1880,Elias,M,65
1880,Elie,M,5
1880,Eligah,M,7
1880,Elihu,M,6
1880,Elijah,M,100
1880,Elinor,F,9
1880,Elisa,F,5
1880,Elisabeth,F,24
1880,Elise,F,24
1880,Eliseo,M,5
1880,Elisha,M,32
1880,Eliza,F,252
1880,Eliza,M,6
1880,Elizabeth,F,1939
1880,Elizabeth,M,9
1880,Elizebeth,F,18
1880,Ella,F,1156
1880,Ellen,F,411
1880,Ellie,F,17
1880,Elliot,M,7
1880,Elliott,M,21
1880,Ellis,M,58
1880,Ellsworth,M,11
1880,Elma,F,28
1880,Elmer,M,373
1880,Elmira,F,13
1880,Elmo,M,15
1880,Elmore,M,9
1880,Elnora,F,42
1880,Eloise,F,11
1880,Elroy,M,5
1880,Elsa,F,20
1880,Elsie,F,301
1880,Elsie,M,6
1880,Elton,M,7
1880,Elva,F,44
1880,Elvin,M,10
1880,Elvina,F,5
1880,Elvira,F,30
1880,Elwood,M,23
1880,Ely,M,5
1880,Elza,M,25
1880,Elzie,M,13
1880,Emanuel,M,57
1880,Emelia,F,12
1880,Emelie,F,10
1880,Emeline,F,9
1880,Emerson,M,25
1880,Emery,M,52
1880,Emil,M,119
1880,Emile,M,12
1880,Emilia,F,9
1880,Emilie,F,46
1880,Emily,F,210
1880,Emma,F,2003
1880,Emma,M,10
1880,Emmaline,F,14
1880,Emmer,F,11
1880,Emmet,M,34
1880,Emmett,M,74
1880,Emmie,F,12
1880,Emmitt,M,7
1880,Emory,M,40
1880,Ena,F,5
1880,Ennis,M,5
1880,Enoch,M,60
1880,Enos,M,14
1880,Enrique,M,5
1880,Ephraim,M,18
1880,Era,F,11
1880,Eric,M,10
1880,Erie,F,6
1880,Erie,M,6
1880,Erma,F,30
1880,Erna,F,10
1880,Ernest,M,615
1880,Ernestine,F,17
1880,Ernie,M,6
1880,Ernst,M,9
1880,Ervin,M,30
1880,Erwin,M,16
1880,Esau,M,5
1880,Essie,F,78
1880,Esta,F,9
1880,Estell,F,9
1880,Estella,F,162
1880,Estelle,F,119
1880,Esther,F,198
1880,Etha,F,9
1880,Ethel,F,633
1880,Ethel,M,6
1880,Ethelyn,F,14
1880,Ethyl,F,8
1880,Etta,F,323
1880,Ettie,F,25
1880,Eudora,F,6
1880,Eugene,M,328
1880,Eugenia,F,40
1880,Eugenie,F,7
1880,Eula,F,70
1880,Eulalia,F,7
1880,Eunice,F,67
1880,Eva,F,614
1880,Evalena,F,6
1880,Evaline,F,6
1880,Evalyn,F,8
1880,Evan,M,22
1880,Evans,M,10
1880,Eve,F,7
1880,Evelina,F,8
1880,Evelyn,F,122
1880,Everett,M,110
1880,Everette,M,5
1880,Evert,M,12
1880,Evie,F,17
1880,Ezekiel,M,16
1880,Ezra,M,39
1880,Faith,F,6
1880,Fannie,F,560
1880,Fanny,F,67
1880,Fate,M,11
1880,Fay,F,13
1880,Fay,M,15
1880,Faye,F,8
1880,Fayette,M,8
1880,Felicia,F,7
1880,Felipe,M,8
1880,Felix,M,92
1880,Ferdinand,M,32
1880,Fern,F,10
1880,Fernando,M,8
1880,Finis,M,9
1880,Finley,M,11
1880,Fleming,M,5
1880,Fletcher,M,25
1880,Flora,F,365
1880,Flora,M,5
1880,Florance,F,7
1880,Florence,F,1063
1880,Florence,M,8
1880,Florida,F,10
1880,Flossie,F,25
1880,Floy,F,23
1880,Floyd,M,206
1880,Ford,M,8
1880,Forest,M,30
1880,Forrest,M,36
1880,Foster,M,16
1880,Frances,F,605
1880,Frances,M,16
1880,Francis,F,55
1880,Francis,M,344
1880,Francisco,M,19
1880,Frank,F,13
1880,Frank,M,3242
1880,Frankie,F,17
1880,Franklin,M,120
1880,Fred,F,9
1880,Fred,M,1569
1880,Freda,F,34
1880,Freddie,F,6
1880,Freddie,M,9
1880,Frederic,M,22
1880,Frederick,M,483
1880,Fredrick,M,103
1880,Freeman,M,26
1880,Frieda,F,26
1880,Fritz,M,18
1880,Gabe,M,11
1880,Gabriel,M,15
1880,Gardner,M,5
1880,Garfield,M,122
1880,Garland,M,11
1880,Garrett,M,13
1880,Garry,M,6
1880,Gary,M,6
1880,Gena,F,11
1880,Gene,M,7
1880,General,M,32
1880,Geneva,F,28
1880,Genevieve,F,59
1880,Genie,F,5
1880,Geo,M,16
1880,George,F,26
1880,George,M,5126
1880,Georgia,F,259
1880,Georgiana,F,36
1880,Georgianna,F,18
1880,Georgie,F,43
1880,Georgina,F,5
1880,Gerald,M,11
1880,Geraldine,F,7
1880,Gertie,F,34
1880,Gertrude,F,787
1880,Gideon,M,10
1880,Gilbert,M,101
1880,Giles,M,18
1880,Gina,F,7
1880,Gladys,F,20
1880,Glen,M,24
1880,Glenn,F,5
1880,Glenn,M,43
1880,Glenna,F,7
1880,Godfrey,M,9
1880,Golda,F,6
1880,Golden,M,7
1880,Goldie,F,24
1880,Gordon,M,51
1880,Gorge,M,5
1880,Grace,F,982
1880,Grace,M,6
1880,Gracia,F,5
1880,Gracie,F,18
1880,Grant,M,52
1880,Granville,M,27
1880,Grayce,F,7
1880,Green,M,39
1880,Gregorio,M,5
1880,Gregory,M,5
1880,Grover,M,18
1880,Guadalupe,F,5
1880,Gus,M,99
1880,Guss,M,9
1880,Gussie,F,54
1880,Gust,M,23
1880,Gustav,M,33
1880,Gustave,M,49
1880,Guy,M,239
1880,Gwendolyn,F,5
1880,Hal,M,7
1880,Hallie,F,51
